pandal_name,nearest_metro_station,area,last_mile_transport,distance_m,approx_time_min,google_maps_link,metro_line,latitude,longitude
Swadhin Sangha,Netaji Bhawan,Bhowanipur,Walk,550,7,https://www.google.com/maps/search/?api=1&query=Swadhin+Sangha+Durga+Puja+Kolkata,Blue Line (North-South),22.5401,88.3452
Jatin Das Park,Jatin Das Park,Hazra,Walk,100,2,https://www.google.com/maps/search/?api=1&query=Jatin+Das+Park+Durga+Puja+Kolkata,Blue Line (North-South),22.523,88.347
23 Pally,Jatin Das Park,Harish Mukherjee Rd,Walk,400,5,https://www.google.com/maps/search/?api=1&query=23+Pally+Durga+Puja+Kolkata,Blue Line (North-South),22.522,88.345
Forward Club,Jatin Das Park,Kalighat,Walk,500,6,https://www.google.com/maps/search/?api=1&query=Forward+Club+Durga+Puja+Kolkata,Blue Line (North-South),22.5311,88.3492
Matri Mandir,Jatin Das Park,Amherst St,Walk,600,8,https://www.google.com/maps/search/?api=1&query=Matri+Mandir+Durga+Puja+Kolkata,Blue Line (North-South),22.5285,88.3562
Bakul Bagan,Jatin Das Park,Bhowanipur,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Bakul+Bagan+Durga+Puja+Kolkata,Blue Line (North-South),22.5319,88.3455
Chetla Agrani Club,Kalighat,Chetla,Auto,1500,10,https://www.google.com/maps/search/?api=1&query=Chetla+Agrani+Club+Durga+Puja+Kolkata,Blue Line (North-South),22.5186,88.3375
Alipore Sarbojonin,Kalighat,Alipore,Auto,2000,15,https://www.google.com/maps/search/?api=1&query=Alipore+Sarbojonin+Durga+Puja+Kolkata,Blue Line (North-South),22.5255,88.3392
Kolahol Gosthi,Kalighat,Rashbehari,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Kolahol+Gosthi+Durga+Puja+Kolkata,Blue Line (North-South),22.5228,88.3445
66 Pally,Kalighat,Rashbehari,Walk,500,6,https://www.google.com/maps/search/?api=1&query=66+Pally+Durga+Puja+Kolkata,Blue Line (North-South),22.5211,88.3466
Badamtala Ashar Sangha,Kalighat,Rashbehari,Walk,400,5,https://www.google.com/maps/search/?api=1&query=Badamtala+Ashar+Sangha+Durga+Puja+Kolkata,Blue Line (North-South),22.5206,88.3475
Deshapriya Park,Kalighat,Rashbehari,Walk,1000,12,https://www.google.com/maps/search/?api=1&query=Deshapriya+Park+Durga+Puja+Kolkata,Blue Line (North-South),22.5189,88.3519
Tridhara Sammilani,Kalighat,Manoharpukur,Walk,900,11,https://www.google.com/maps/search/?api=1&query=Tridhara+Sammilani+Durga+Puja+Kolkata,Blue Line (North-South),22.5215,88.3533
Ballygunge Cultural,Kalighat,Ballygunge,Auto/Rickshaw,1500,15,https://www.google.com/maps/search/?api=1&query=Ballygunge+Cultural+Durga+Puja+Kolkata,Blue Line (North-South),22.5178,88.3585
Hindusthan Park,Kalighat,Gariahat,Auto,1800,15,https://www.google.com/maps/search/?api=1&query=Hindusthan+Park+Durga+Puja+Kolkata,Blue Line (North-South),22.5175,88.3611
Hindusthan Club,Kalighat,Gariahat,Auto,1900,16,https://www.google.com/maps/search/?api=1&query=Hindusthan+Club+Durga+Puja+Kolkata,Blue Line (North-South),22.5169,88.3625
Singhi Park,Kalighat,Gariahat,Auto,2000,16,https://www.google.com/maps/search/?api=1&query=Singhi+Park+Durga+Puja+Kolkata,Blue Line (North-South),22.5199,88.3678
Ekdalia Evergreen,Kalighat,Gariahat,Auto,2100,17,https://www.google.com/maps/search/?api=1&query=Ekdalia+Evergreen+Durga+Puja+Kolkata,Blue Line (North-South),22.5195,88.3662
Bosepukur Sitala Mandir,Kalighat,Kasba,Auto/Bus,3500,25,https://www.google.com/maps/search/?api=1&query=Bosepukur+Sitala+Mandir+Durga+Puja+Kolkata,Blue Line (North-South),22.5222,88.3855
Rajdanga Naba Uday Sangha,Kalighat,Kasba,Auto/Bus,3800,28,https://www.google.com/maps/search/?api=1&query=Rajdanga+Naba+Uday+Sangha+Durga+Puja+Kolkata,Blue Line (North-South),22.5201,88.3892
Mudiali,Rabindra Sarobar,Southern Ave,Walk,400,5,https://www.google.com/maps/search/?api=1&query=Mudiali+Durga+Puja+Kolkata,Blue Line (North-South),22.5113,88.3471
Shib Mandir,Rabindra Sarobar,Southern Ave,Walk,600,7,https://www.google.com/maps/search/?api=1&query=Shib+Mandir+Durga+Puja+Kolkata,Blue Line (North-South),22.5108,88.3491
Trikone Park,Rabindra Sarobar,Southern Ave,Walk,700,8,https://www.google.com/maps/search/?api=1&query=Trikone+Park+Durga+Puja+Kolkata,Blue Line (North-South),22.5065,88.3458
Haridevpur 41 Pally,Mahanayak Uttam Kumar,Haridevpur,Auto,2500,15,https://www.google.com/maps/search/?api=1&query=Haridevpur+41+Pally+Durga+Puja+Kolkata,Blue Line (North-South),22.4862,88.3341
Vivekananda Park,Mahanayak Uttam Kumar,Haridevpur,Auto,2200,14,https://www.google.com/maps/search/?api=1&query=Vivekananda+Park+Durga+Puja+Kolkata,Blue Line (North-South),22.4851,88.3312
Ajeya Sanghati,Mahanayak Uttam Kumar,Haridevpur,Auto,2600,16,https://www.google.com/maps/search/?api=1&query=Ajeya+Sanghati+Durga+Puja+Kolkata,Blue Line (North-South),22.4885,88.3355
New Sporting Club,Mahanayak Uttam Kumar,Haridevpur,Auto,3000,18,https://www.google.com/maps/search/?api=1&query=New+Sporting+Club+Durga+Puja+Kolkata,Blue Line (North-South),22.4842,88.3333
Barisha Club,Mahanayak Uttam Kumar,Behala,Auto/Bus,4000,25,https://www.google.com/maps/search/?api=1&query=Barisha+Club+Durga+Puja+Kolkata,Blue Line (North-South),22.4891,88.3142
Naktala Udayan Sangha,Gitanjali,Naktala,Walk,300,4,https://www.google.com/maps/search/?api=1&query=Naktala+Udayan+Sangha+Durga+Puja+Kolkata,Blue Line (North-South),22.4721,88.3622
Baishnabghata Balak Samity,Gitanjali,Garia,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Baishnabghata+Balak+Samity+Durga+Puja+Kolkata,Blue Line (North-South),22.4688,88.3655
