pandal_name,nearest_metro_station,area,last_mile_transport,distance_m,approx_time_min,google_maps_link,metro_line
Golaghata Sammilani,Belgachia,Ultadanga,Auto,2000,15,https://www.google.com/maps/search/?api=1&query=Golaghata+Sammilani+Durga+Puja+Kolkata,Blue Line (North-South)
Dakshindari Youth,Belgachia,Ultadanga,Auto,2200,15,https://www.google.com/maps/search/?api=1&query=Dakshindari+Youth+Durga+Puja+Kolkata,Blue Line (North-South)
Telengabagan,Belgachia,Ultadanga,Auto,2500,18,https://www.google.com/maps/search/?api=1&query=Telengabagan+Durga+Puja+Kolkata,Blue Line (North-South)
Sovabazar Boro Rajbari,Shobhabazar Sutanuti,Sovabazar,Walk,400,5,https://www.google.com/maps/search/?api=1&query=Sovabazar+Boro+Rajbari+Durga+Puja+Kolkata,Blue Line (North-South)
Sovabazar Choto Rajbari,Shobhabazar Sutanuti,Sovabazar,Walk,450,6,https://www.google.com/maps/search/?api=1&query=Sovabazar+Choto+Rajbari+Durga+Puja+Kolkata,Blue Line (North-South)
Jagat Mukherjee Park,Shobhabazar Sutanuti,Sovabazar,Walk,600,8,https://www.google.com/maps/search/?api=1&query=Jagat+Mukherjee+Park+Durga+Puja+Kolkata,Blue Line (North-South)
Kumartuli Sarbojanin,Shobhabazar Sutanuti,Kumartuli,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Kumartuli+Sarbojanin+Durga+Puja+Kolkata,Blue Line (North-South)
Kumartuli Park,Shobhabazar Sutanuti,Kumartuli,Walk,750,9,https://www.google.com/maps/search/?api=1&query=Kumartuli+Park+Durga+Puja+Kolkata,Blue Line (North-South)
Beniatola Sarbojonin,Shobhabazar Sutanuti,Beniatola,Walk,600,7,https://www.google.com/maps/search/?api=1&query=Beniatola+Sarbojonin+Durga+Puja+Kolkata,Blue Line (North-South)
Ahiritola Sarbojonin,Shobhabazar Sutanuti,Ahiritola,Walk,900,12,https://www.google.com/maps/search/?api=1&query=Ahiritola+Sarbojonin+Durga+Puja+Kolkata,Blue Line (North-South)
Jorasanko Sadharan,Girish Park,Jorasanko,Walk,500,6,https://www.google.com/maps/search/?api=1&query=Jorasanko+Sadharan+Durga+Puja+Kolkata,Blue Line (North-South)
Chorebagan Sarbojonin,Girish Park,Chorebagan,Walk,600,7,https://www.google.com/maps/search/?api=1&query=Chorebagan+Sarbojonin+Durga+Puja+Kolkata,Blue Line (North-South)
Simla Byayam Samity,Girish Park,Simla St,Walk,350,5,https://www.google.com/maps/search/?api=1&query=Simla+Byayam+Samity+Durga+Puja+Kolkata,Blue Line (North-South)
Chaltabagan Lohapatty,Girish Park,Amherst St,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Chaltabagan+Lohapatty+Durga+Puja+Kolkata,Blue Line (North-South)
Mohammad Ali Park,MG Road,Chittaranjan Ave,Walk,200,3,https://www.google.com/maps/search/?api=1&query=Mohammad+Ali+Park+Durga+Puja+Kolkata,Blue Line (North-South)
College Square,MG Road,College St,Walk,600,7,https://www.google.com/maps/search/?api=1&query=College+Square+Durga+Puja+Kolkata,Blue Line (North-South)
Santosh Mitra Square,Central,Bowbazar,Walk,400,5,https://www.google.com/maps/search/?api=1&query=Santosh+Mitra+Square+Durga+Puja+Kolkata,Blue Line (North-South)
Sealdah Athletic Club,Central,Sealdah,Walk,1000,12,https://www.google.com/maps/search/?api=1&query=Sealdah+Athletic+Club+Durga+Puja+Kolkata,Blue Line (North-South)
Subodh Mallick Square,Central,Wellington,Walk,600,8,https://www.google.com/maps/search/?api=1&query=Subodh+Mallick+Square+Durga+Puja+Kolkata,Blue Line (North-South)
Kapalitola Sarbajanin,Central,Bowbazar,Walk,500,6,https://www.google.com/maps/search/?api=1&query=Kapalitola+Sarbajanin+Durga+Puja+Kolkata,Blue Line (North-South)
68 Pally,Netaji Bhawan,Bhowanipur,Walk,400,5,https://www.google.com/maps/search/?api=1&query=68+Pally+Durga+Puja+Kolkata,Blue Line (North-South)
76 Pally,Netaji Bhawan,Bhowanipur,Walk,500,6,https://www.google.com/maps/search/?api=1&query=76+Pally+Durga+Puja+Kolkata,Blue Line (North-South)
Bhowanipur 75 Pally,Netaji Bhawan,Bhowanipur,Walk,300,4,https://www.google.com/maps/search/?api=1&query=Bhowanipur+75+Pally+Durga+Puja+Kolkata,Blue Line (North-South)
22 Pally (Northern Park),Netaji Bhawan,Bhowanipur,Walk,600,7,https://www.google.com/maps/search/?api=1&query=22+Pally+(Northern+Park)+Durga+Puja+Kolkata,Blue Line (North-South)
Paddapukur Youth,Netaji Bhawan,Paddapukur,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Paddapukur+Youth+Durga+Puja+Kolkata,Blue Line (North-South)
Harish Park,Netaji Bhawan,Harish Park,Walk,700,9,https://www.google.com/maps/search/?api=1&query=Harish+Park+Durga+Puja+Kolkata,Blue Line (North-South)
Agradut Udaya Sangha,Netaji Bhawan,Bhowanipur,Walk,600,8,https://www.google.com/maps/search/?api=1&query=Agradut+Udaya+Sangha+Durga+Puja+Kolkata,Blue Line (North-South)
Swadhin Sangha,Netaji Bhawan,Bhowanipur,Walk,550,7,https://www.google.com/maps/search/?api=1&query=Swadhin+Sangha+Durga+Puja+Kolkata,Blue Line (North-South)
Jatin Das Park,Jatin Das Park,Hazra,Walk,100,2,https://www.google.com/maps/search/?api=1&query=Jatin+Das+Park+Durga+Puja+Kolkata,Blue Line (North-South)
23 Pally,Jatin Das Park,Harish Mukherjee Rd,Walk,400,5,https://www.google.com/maps/search/?api=1&query=23+Pally+Durga+Puja+Kolkata,Blue Line (North-South)
Forward Club,Jatin Das Park,Kalighat,Walk,500,6,https://www.google.com/maps/search/?api=1&query=Forward+Club+Durga+Puja+Kolkata,Blue Line (North-South)
Matri Mandir,Jatin Das Park,Amherst St,Walk,600,8,https://www.google.com/maps/search/?api=1&query=Matri+Mandir+Durga+Puja+Kolkata,Blue Line (North-South)
Bakul Bagan,Jatin Das Park,Bhowanipur,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Bakul+Bagan+Durga+Puja+Kolkata,Blue Line (North-South)
Chetla Agrani Club,Kalighat,Chetla,Auto,1500,10,https://www.google.com/maps/search/?api=1&query=Chetla+Agrani+Club+Durga+Puja+Kolkata,Blue Line (North-South)
Alipore Sarbojonin,Kalighat,Alipore,Auto,2000,15,https://www.google.com/maps/search/?api=1&query=Alipore+Sarbojonin+Durga+Puja+Kolkata,Blue Line (North-South)
Kolahol Gosthi,Kalighat,Rashbehari,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Kolahol+Gosthi+Durga+Puja+Kolkata,Blue Line (North-South)
66 Pally,Kalighat,Rashbehari,Walk,500,6,https://www.google.com/maps/search/?api=1&query=66+Pally+Durga+Puja+Kolkata,Blue Line (North-South)
Badamtala Ashar Sangha,Kalighat,Rashbehari,Walk,400,5,https://www.google.com/maps/search/?api=1&query=Badamtala+Ashar+Sangha+Durga+Puja+Kolkata,Blue Line (North-South)
Deshapriya Park,Kalighat,Rashbehari,Walk,1000,12,https://www.google.com/maps/search/?api=1&query=Deshapriya+Park+Durga+Puja+Kolkata,Blue Line (North-South)
Tridhara Sammilani,Kalighat,Manoharpukur,Walk,900,11,https://www.google.com/maps/search/?api=1&query=Tridhara+Sammilani+Durga+Puja+Kolkata,Blue Line (North-South)
Ballygunge Cultural,Kalighat,Ballygunge,Auto/Rickshaw,1500,15,https://www.google.com/maps/search/?api=1&query=Ballygunge+Cultural+Durga+Puja+Kolkata,Blue Line (North-South)
Hindusthan Park,Kalighat,Gariahat,Auto,1800,15,https://www.google.com/maps/search/?api=1&query=Hindusthan+Park+Durga+Puja+Kolkata,Blue Line (North-South)
Hindusthan Club,Kalighat,Gariahat,Auto,1900,16,https://www.google.com/maps/search/?api=1&query=Hindusthan+Club+Durga+Puja+Kolkata,Blue Line (North-South)
Singhi Park,Kalighat,Gariahat,Auto,2000,16,https://www.google.com/maps/search/?api=1&query=Singhi+Park+Durga+Puja+Kolkata,Blue Line (North-South)
Ekdalia Evergreen,Kalighat,Gariahat,Auto,2100,17,https://www.google.com/maps/search/?api=1&query=Ekdalia+Evergreen+Durga+Puja+Kolkata,Blue Line (North-South)
Bosepukur Sitala Mandir,Kalighat,Kasba,Auto/Bus,3500,25,https://www.google.com/maps/search/?api=1&query=Bosepukur+Sitala+Mandir+Durga+Puja+Kolkata,Blue Line (North-South)
Rajdanga Naba Uday Sangha,Kalighat,Kasba,Auto/Bus,3800,28,https://www.google.com/maps/search/?api=1&query=Rajdanga+Naba+Uday+Sangha+Durga+Puja+Kolkata,Blue Line (North-South)
Mudiali,Rabindra Sarobar,Southern Ave,Walk,400,5,https://www.google.com/maps/search/?api=1&query=Mudiali+Durga+Puja+Kolkata,Blue Line (North-South)
Shib Mandir,Rabindra Sarobar,Southern Ave,Walk,600,7,https://www.google.com/maps/search/?api=1&query=Shib+Mandir+Durga+Puja+Kolkata,Blue Line (North-South)
Trikone Park,Rabindra Sarobar,Southern Ave,Walk,700,8,https://www.google.com/maps/search/?api=1&query=Trikone+Park+Durga+Puja+Kolkata,Blue Line (North-South)
Haridevpur 41 Pally,Mahanayak Uttam Kumar,Haridevpur,Auto,2500,15,https://www.google.com/maps/search/?api=1&query=Haridevpur+41+Pally+Durga+Puja+Kolkata,Blue Line (North-South)
Vivekananda Park,Mahanayak Uttam Kumar,Haridevpur,Auto,2200,14,https://www.google.com/maps/search/?api=1&query=Vivekananda+Park+Durga+Puja+Kolkata,Blue Line (North-South)
Ajeya Sanghati,Mahanayak Uttam Kumar,Haridevpur,Auto,2600,16,https://www.google.com/maps/search/?api=1&query=Ajeya+Sanghati+Durga+Puja+Kolkata,Blue Line (North-South)
New Sporting Club,Mahanayak Uttam Kumar,Haridevpur,Auto,3000,18,https://www.google.com/maps/search/?api=1&query=New+Sporting+Club+Durga+Puja+Kolkata,Blue Line (North-South)
Barisha Club,Mahanayak Uttam Kumar,Behala,Auto/Bus,4000,25,https://www.google.com/maps/search/?api=1&query=Barisha+Club+Durga+Puja+Kolkata,Blue Line (North-South)
Naktala Udayan Sangha,Gitanjali,Naktala,Walk,300,4,https://www.google.com/maps/search/?api=1&query=Naktala+Udayan+Sangha+Durga+Puja+Kolkata,Blue Line (North-South)
Baishnabghata Balak Samity,Gitanjali,Garia,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Baishnabghata+Balak+Samity+Durga+Puja+Kolkata,Blue Line (North-South)
