pandal_name,nearest_metro_station,area,last_mile_transport,distance_m,approx_time_min,google_maps_link
22 Pally (Northern Park),Netaji Bhawan,Bhowanipur,Walk,600,7,https://www.google.com/maps/search/?api=1&query=22+Pally+(Northern+Park)+Durga+Puja+Kolkata
Paddapukur Youth,Netaji Bhawan,Paddapukur,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Paddapukur+Youth+Durga+Puja+Kolkata
Harish Park,Netaji Bhawan,Harish Park,Walk,700,9,https://www.google.com/maps/search/?api=1&query=Harish+Park+Durga+Puja+Kolkata
Agradut Udaya Sangha,Netaji Bhawan,Bhowanipur,Walk,600,8,https://www.google.com/maps/search/?api=1&query=Agradut+Udaya+Sangha+Durga+Puja+Kolkata
Swadhin Sangha,Netaji Bhawan,Bhowanipur,Walk,550,7,https://www.google.com/maps/search/?api=1&query=Swadhin+Sangha+Durga+Puja+Kolkata
Jatin Das Park,Jatin Das Park,Hazra,Walk,100,2,https://www.google.com/maps/search/?api=1&query=Jatin+Das+Park+Durga+Puja+Kolkata
23 Pally,Jatin Das Park,Harish Mukherjee Rd,Walk,400,5,https://www.google.com/maps/search/?api=1&query=23+Pally+Durga+Puja+Kolkata
Forward Club,Jatin Das Park,Kalighat,Walk,500,6,https://www.google.com/maps/search/?api=1&query=Forward+Club+Durga+Puja+Kolkata
Matri Mandir,Jatin Das Park,Amherst St,Walk,600,8,https://www.google.com/maps/search/?api=1&query=Matri+Mandir+Durga+Puja+Kolkata
Bakul Bagan,Jatin Das Park,Bhowanipur,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Bakul+Bagan+Durga+Puja+Kolkata
Chetla Agrani Club,Kalighat,Chetla,Auto,1500,10,https://www.google.com/maps/search/?api=1&query=Chetla+Agrani+Club+Durga+Puja+Kolkata
Alipore Sarbojonin,Kalighat,Alipore,Auto,2000,15,https://www.google.com/maps/search/?api=1&query=Alipore+Sarbojonin+Durga+Puja+Kolkata
Kolahol Gosthi,Kalighat,Rashbehari,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Kolahol+Gosthi+Durga+Puja+Kolkata
66 Pally,Kalighat,Rashbehari,Walk,500,6,https://www.google.com/maps/search/?api=1&query=66+Pally+Durga+Puja+Kolkata
Badamtala Ashar Sangha,Kalighat,Rashbehari,Walk,400,5,https://www.google.com/maps/search/?api=1&query=Badamtala+Ashar+Sangha+Durga+Puja+Kolkata
Deshapriya Park,Kalighat,Rashbehari,Walk,1000,12,https://www.google.com/maps/search/?api=1&query=Deshapriya+Park+Durga+Puja+Kolkata
Tridhara Sammilani,Kalighat,Manoharpukur,Walk,900,11,https://www.google.com/maps/search/?api=1&query=Tridhara+Sammilani+Durga+Puja+Kolkata
Ballygunge Cultural,Kalighat,Ballygunge,Auto/Rickshaw,1500,15,https://www.google.com/maps/search/?api=1&query=Ballygunge+Cultural+Durga+Puja+Kolkata
Hindusthan Park,Kalighat,Gariahat,Auto,1800,15,https://www.google.com/maps/search/?api=1&query=Hindusthan+Park+Durga+Puja+Kolkata
Hindusthan Club,Kalighat,Gariahat,Auto,1900,16,https://www.google.com/maps/search/?api=1&query=Hindusthan+Club+Durga+Puja+Kolkata
Singhi Park,Kalighat,Gariahat,Auto,2000,16,https://www.google.com/maps/search/?api=1&query=Singhi+Park+Durga+Puja+Kolkata
Ekdalia Evergreen,Kalighat,Gariahat,Auto,2100,17,https://www.google.com/maps/search/?api=1&query=Ekdalia+Evergreen+Durga+Puja+Kolkata
Bosepukur Sitala Mandir,Kalighat,Kasba,Auto/Bus,3500,25,https://www.google.com/maps/search/?api=1&query=Bosepukur+Sitala+Mandir+Durga+Puja+Kolkata
Rajdanga Naba Uday Sangha,Kalighat,Kasba,Auto/Bus,3800,28,https://www.google.com/maps/search/?api=1&query=Rajdanga+Naba+Uday+Sangha+Durga+Puja+Kolkata
Mudiali,Rabindra Sarobar,Southern Ave,Walk,400,5,https://www.google.com/maps/search/?api=1&query=Mudiali+Durga+Puja+Kolkata
Shib Mandir,Rabindra Sarobar,Southern Ave,Walk,600,7,https://www.google.com/maps/search/?api=1&query=Shib+Mandir+Durga+Puja+Kolkata
Trikone Park,Rabindra Sarobar,Southern Ave,Walk,700,8,https://www.google.com/maps/search/?api=1&query=Trikone+Park+Durga+Puja+Kolkata
Haridevpur 41 Pally,Mahanayak Uttam Kumar,Haridevpur,Auto,2500,15,https://www.google.com/maps/search/?api=1&query=Haridevpur+41+Pally+Durga+Puja+Kolkata
Vivekananda Park,Mahanayak Uttam Kumar,Haridevpur,Auto,2200,14,https://www.google.com/maps/search/?api=1&query=Vivekananda+Park+Durga+Puja+Kolkata
Ajeya Sanghati,Mahanayak Uttam Kumar,Haridevpur,Auto,2600,16,https://www.google.com/maps/search/?api=1&query=Ajeya+Sanghati+Durga+Puja+Kolkata
New Sporting Club,Mahanayak Uttam Kumar,Haridevpur,Auto,3000,18,https://www.google.com/maps/search/?api=1&query=New+Sporting+Club+Durga+Puja+Kolkata
Barisha Club,Mahanayak Uttam Kumar,Behala,Auto/Bus,4000,25,https://www.google.com/maps/search/?api=1&query=Barisha+Club+Durga+Puja+Kolkata
Naktala Udayan Sangha,Gitanjali,Naktala,Walk,300,4,https://www.google.com/maps/search/?api=1&query=Naktala+Udayan+Sangha+Durga+Puja+Kolkata
Baishnabghata Balak Samity,Gitanjali,Garia,Walk,800,10,https://www.google.com/maps/search/?api=1&query=Baishnabghata+Balak+Samity+Durga+Puja+Kolkata
